B,G,R,Color
1,28,48,Green
2,27,1,Green
2,17,26,Green
2,23,64,Green
0,21,52,Green
9,21,53,Green
1,20,59,Green
1,17,30,Green
10,18,23,Green
0,23,50,Green
9,24,54,Green
11,25,62,Green
16,26,65,Green
86,143,37,Green
6,22,31,Green
8,21,65,Green
5,15,62,Green
7,19,66,Green
12,25,91,Green
22,31,90,Green
44,20,91,Green
16,123,23,Green
0,25,0,Green
0,40,7,Green
3,116,7,Green
7,24,6,Green
114,120,127,Green
17,66,91,Green
1,106,15,Green
2,57,77,Green
235,100,9,Blue
224,108,7,Blue
45,64,69,Blue
73,62,50,Blue
216,105,20,Blue
218,106,20,Blue
185,96,36,Blue
149,79,39,Blue
36,57,55,Blue
39,57,63,Blue
75,47,31,Blue
60,38,14,Blue
228,110,20,Blue
226,104,22,Blue
206,115,54,Blue
60,55,33,Blue
167,70,21,Blue
76,34,9,Blue
31,88,109,Blue
193,71,0,Blue
181,66,0,Blue
41,10,2,Blue
203,74,0,Blue
73,101,125,Blue
80,109,128,Blue
61,96,116,Blue
117,47,6,Blue
145,109,81,Blue
131,104,80,Blue
135,155,157,Blue
97,125,134,Blue
232,120,34,Blue
235,130,38,Blue
230,125,45,Blue
140,105,90,Blue
142,199,224,Blue
92,130,139,Blue
76,75,74,Blue
229,127,49,Blue
211,124,47,Blue
64,120,144,Blue
113,144,154,Blue
120,93,79,Blue
166,118,94,Blue
31,59,96,Blue
126,97,59,Blue
205,130,31,Blue
211,121,17,Blue
15,46,73,Blue
3,34,64,Blue
0,24,55,Blue
27,45,54,Blue
6,25,53,Blue
22,48,50,Blue
2,30,66,Blue
88,51,14,Blue
207,125,18,Blue
167,117,43,Blue
167,117,43,Blue
223,87,8,Blue
132,58,21,Blue
132,58,21,Blue
193,104,53,Blue
214,107,24,Blue
230,104,7,Blue
223,118,47,Blue
115,171,191,Blue
196,105,44,Blue
219,89,14,Blue
132,58,21,Blue
233,100,11,Blue
227,122,41,Blue
227,122,41,Blue
227,122,41,Blue
227,122,41,Blue
220,104,27,Blue
229,103,7,Blue
232,88,16,Blue
154,71,29,Blue
69,52,53,Blue
108,75,58,Blue
233,107,23,Blue
226,105,12,Blue
234,120,44,Blue
132,58,21,Blue
214,107,24,Blue
90,51,39,Blue
108,49,19,Blue
68,41,26,Blue
72,54,45,Blue
144,54,2,Blue
166,61,0,Blue
164,75,23,Blue
161,64,8,Blue
165,55,0,Blue
125,48,3,Blue
17,10,11,Blue
150,65,8,Blue
84,63,36,Blue
24,18,18,Blue
169,173,167,White
170,170,170,White
24,53,66,White
159,168,171,White
179,179,179,White
177,176,172,White
176,176,172,White
181,181,181,White
173,177,177,White
175,172,163,White
180,167,161,White
176,170,164,White
178,170,166,White
171,170,170,White
174,170,168,White
173,169,168,White
159,160,160,White
174,174,174,White
168,175,174,White
178,178,178,White
